Input,Output
Part of the drop was attributed to the lessening severity of Hurricane Gilbert and expectations it would miss major U.S. oil facilities .,
"Mr. Groner touches down at the Orlando airport at 5:54 a.m . , and a dumpster-size container carrying our package is rolled onto a truck bound for a sorting center in Longwood, Fla.",
"At the time , his feeling was that even with the tax changes knocking out a lot of IRA money . .. the industry is expected to thrive and become more competitive over the next few years.","the tax changes, knock out, a lot of IRA money"
"`` A lot of the institutional investors that have missed the boat might want to take the opportunity to get in now , '' he said .","institutional investors, miss, the boat"
"According to this scenario and much insider speculation , the plot to kill Mr. Ozal may have originated with a middle-level official whose career was threatened.",
"About 100,000 Kurdsa people not previously known for runninghave fled across the border to Turkey to escape the onslaught.",
NASA partisans blame the administration for allowing the civilian space agency to drift and deteriorate through the 1980s while pouring vast sums into the Pentagon .,"the administration, pour, vast sums"
"Earlier in the month , the rate on reserves that banks lend each other overnight was averaging around 7.38 %.",
"According to one theory, the market was still trying to absorb the two large computer-generated sell programs that passed through the market Wednesday.",
"New Pig Corp., Tipton, Pa., offers a hot-dog-shaped sponge that absorbs polluting liquids around factory machines.",
"But few , if any , have guidelines against lending to offshore entities that are South African-controlled or that have a significant South African minority interest .",
"Now that the Reagan Revolution has come and gone, will conservatives turn on one another as zestfully as they have assaulted modern liberals.","conservative, assault, modern liberal"
Farmers have planted pine trees on many former soybean fields under a government program that pays them $ 45 an acre each year to idle land .,
The company didn't fix the problems fast enough.,
"One of the funniest scenes in the play comes near the end, when Frank visits Sylvester's apartment to fix a leak in the ceiling.",
"`` The U.S. could miss the boat if they play politics at the ADB and do n't put up the bucks , '' says an ADB executive who declined to be identified .","The U.S., miss, big boat"
"Engineers at General Binding , in Northbrook , Ill . , devised a method that melts the adhesive by sending a low-voltage current into the cover itself , resulting in a smaller and less expensive unit .",
"Ford will recall 103,000 1986 Aerostar, Bronco II, and Ranger SuperCab vehicles to fix an electrical problem.""",
"Nike and L.A. Gear rode good earnings , publicity about the Olympic Games and disappointing news from rival Reebok International to sharp gains , each on heavy trading of about 1.3 million shares .","Nike and L.A. Gear, ride, good earnings"
The Democratic contender will step up attacks on Bush 's proposal to cut capital-gains taxes .,"The Democratic contender, step up, attacks"
"The company said in mid-June that about 2 , 000 workers were striking six distribution centers in a dispute over wages and benefits .",
"The A's won Monday's opener, 3-2, on a Henderson home run in the 14th inning, but were upstaged by Team Turmoil's manager, Billy Martin, who",
"Brokerage rates are fixed by the finance ministry, so discount brokerage isn't possible, unlike London where the fixed commissions were abolished in 1986.",
"Mr. Vann's life is a stunning story, its surface brilliance concealing sexual compulsions that filled his private life with lies.","Mr. Vanns life, fill, his private life with lies"
"Ever since, Banner has been besieged by hundreds of thrill-seeking callers.",
"Whalers , traders and missionaries planted seedlings at settlements scattered along the chain .",
"Before there was much time for further decorating, the lady was dragged off to the guillotine.",
"After the close of trading , however , a National Weather Service official said the heaviest rains and strongest winds are expected today only in southwest Louisiana , where almost half of the state 's soybeans are planted .",
But Mr. Sherlund said he thinks the company has taken steps to fix that problem.,
"Taxes canï¿½t keep rising faster than the incomes of taxpayers, or the government would absorb an ever-increasing share of private incomes, destroying incentives.","the government, absorb, income"
Everybody stands up at the session to make sure the meeting doesn't drag on and interrupt the day's routine.,"the meeting, drag on"
FMC officials long have complained that government officials in those countries play an aggressive role in marketing their industries ' war machinery .,"government officials, play, an aggressive role"
We ought to start examining which countries aren't going to pay us back and cut them off.,"we, examine, which countries arent going to pay us back"
The consulting firm of Data Resources Inc. expects business fixed investment this year to top the 1987 outlays by 11.1%.,
"EMPLOYEE LEASING was supposed to be killed , or at least maimed , by the Tax Reform Act of 1986.","Employee leasing, be killed, by Tax Reform Act of 1986"
"Instead of grasping the nettle, Mr. Bush seems to be deemphasizing the item veto.",
"Soviet officials acknowledged that several people were killed and others injured in recent ethnic unrest in Sumgait , in the republic of Azerbaijan.",
Police destroyed the homes of suspected activists during raids in Arab villages.,
"In theory, the new technique should dissolve blood clots with less risk of bleeding occurring in other parts of the body, as can happen with current clot dissolvers.",
Investors ' fears have touched the bonds of companies not immediately identified as takeover targets .,"Investors fear, touch, the bonds of companies"
"First RepublicBank, besieged with rumors about a possible failure or takeover, said it wouldn't have any comment on the FDIC's activity.",
The drug is designed to dissolve blood clots.,
"In northern Botswana , where the poor quality of their ivory protects elephants from poachers , the elephant population is out of control and has eaten and knocked down many square miles of scrubby forest .",
A Middle Eastern analyst says Lebanese usually drink coffee at such occasions; Palestinians drink tea.,
Other people love Acapulco -- and don't miss Frank Sinatra .,
"That implies production slowdowns, which could result in job losses and weaker consumer spending, which in turn would cause the economy to drag its heels further.","the economy, drag, its heel"
"This year , one from Lancaster , Pa . , bought a lamp and took it home on the plane . -LRB- Irv Blumkin , Ron 's brother , drove the shareholder to the airport after he lingered too long in the store and missed his bus.",
I found that the journalists were delighted to find a young person interested enough in their trade to come in and go through the press clippings in those fascinating metal drawers that filled the morgue.,"journalists, fill, the morgue"
She had been struck with an iron skillet .,
They induced shopper Aileen Schmieder to temporarily stop trying to get her family to drink more milk and juice.,
